iter	Passed	Remaining
0	58	58912
1	59	29813
2	60	20130
3	61	15308
4	62	12392
5	62	10429
6	63	9029
7	64	7995
8	65	7193
9	66	6550
10	66	6019
11	67	5577
12	68	5201
13	69	4889
14	70	4612
15	70	4361
16	71	4141
17	72	3956
18	73	3787
19	74	3635
20	74	3492
21	75	3365
22	77	3288
23	78	3184
24	79	3086
25	79	2995
26	80	2906
27	81	2824
28	82	2746
29	82	2677
30	83	2616
31	84	2555
32	85	2493
33	85	2438
34	86	2387
35	87	2343
36	88	2297
37	89	2253
38	89	2211
39	90	2173
40	91	2134
41	91	2094
42	92	2061
43	93	2030
44	94	2000
45	95	1971
46	95	1942
47	96	1914
48	97	1884
49	97	1858
50	98	1830
51	99	1807
52	99	1784
53	100	1761
54	101	1741
55	102	1724
56	103	1705
57	103	1687
58	104	1670
59	105	1653
60	107	1655
61	108	1641
62	109	1625
63	110	1609
64	110	1596
65	111	1580
66	112	1564
67	113	1550
68	113	1537
69	114	1524
70	115	1511
71	116	1498
72	117	1487
73	117	1475
74	118	1463
75	119	1452
76	120	1441
77	121	1431
78	122	1423
79	122	1413
80	123	1403
81	124	1390
82	124	1375
83	125	1364
84	125	1355
85	126	1345
86	127	1335
87	128	1326
88	128	1318
89	129	1309
90	130	1301
91	130	1292
92	131	1283
93	132	1275
94	133	1268
95	133	1259
96	134	1251
97	135	1244
98	135	1236
99	136	1230
100	137	1223
101	138	1216
102	138	1209
103	139	1202
104	140	1195
105	140	1189
106	141	1182
107	142	1176
108	143	1170
109	143	1164
110	144	1157
111	145	1152
112	146	1146
113	146	1139
114	147	1134
115	148	1129
116	148	1121
117	149	1116
118	150	1111
119	150	1106
120	151	1102
121	152	1097
122	153	1092
123	153	1087
124	154	1081
125	155	1077
126	155	1071
127	156	1067
128	157	1063
129	158	1058
130	158	1053
131	159	1048
132	160	1044
133	161	1041
134	161	1036
135	162	1032
136	163	1027
137	163	1024
138	164	1020
139	165	1015
140	166	1011
141	166	1005
142	167	1001
143	169	1004
144	170	1003
145	170	998
146	171	995
147	172	991
148	172	987
149	173	983
150	174	979
151	174	975
152	175	971
153	176	968
154	176	964
155	177	960
156	178	957
157	179	954
158	179	951
159	180	947
160	180	942
161	181	939
162	182	936
163	183	933
164	183	930
165	184	926
166	185	923
167	185	920
168	186	917
169	187	914
170	188	911
171	188	909
172	189	906
173	190	903
174	191	900
175	191	897
176	192	895
177	193	891
178	193	888
179	194	885
180	194	882
181	195	878
182	196	875
183	196	872
184	197	869
185	198	866
186	199	868
187	200	865
188	201	862
189	201	859
190	202	857
191	202	854
192	203	850
193	204	847
194	204	844
195	205	841
196	205	839
197	206	836
198	207	834
199	207	831
200	208	829
201	209	826
202	209	823
203	210	820
204	211	818
205	211	815
206	212	812
207	212	810
208	213	808
209	214	806
210	214	803
211	215	801
212	216	798
213	216	796
214	217	793
215	218	791
216	218	788
217	219	786
218	219	783
219	220	780
220	220	778
221	221	776
222	222	773
223	222	771
224	223	769
225	223	767
226	224	764
227	225	762
228	225	760
229	226	758
230	227	756
231	227	754
232	228	751
233	228	749
234	229	747
235	230	746
236	231	744
237	231	741
238	232	739
239	232	737
240	233	735
241	234	733
242	234	732
243	235	729
244	236	727
245	236	725
246	237	723
247	238	721
248	238	719
249	239	717
250	239	715
251	240	713
252	240	711
253	241	709
254	242	707
255	243	706
256	243	704
257	244	703
258	245	701
259	245	699
260	246	697
261	247	696
262	247	694
263	248	692
264	248	690
265	249	688
266	249	686
267	250	684
268	251	682
269	251	680
270	252	678
271	253	677
272	253	675
273	254	673
274	254	671
275	255	669
276	256	668
277	256	666
278	257	664
279	257	662
280	258	660
281	258	658
282	259	657
283	260	657
284	261	655
285	261	653
286	262	652
287	263	651
288	264	649
289	264	647
290	265	646
291	265	644
292	266	642
293	266	640
294	267	639
295	268	637
296	268	635
297	269	634
298	269	632
299	270	630
300	270	629
301	271	627
302	272	626
303	272	624
304	273	622
305	273	620
306	274	619
307	274	617
308	275	616
309	275	614
310	276	612
311	276	610
312	277	609
313	278	607
